modelo,nivel,semilla,banco,protocolo,acierto,rechazo,error,error_hacia_menos_presenciado,saltos_media,consultas_en_rechazo,n,persp_divergencia_jaccard,persp_conocidos_por_agente,persp_entropia_media
azar,0.0625,42,texto_reservado,encadenado,0.8377192982456141,0.0,0.16228070175438597,0.0,0.8757309941520468,nan,1368,0.5868358248816141,8.0,1.7354496179335352
azar,0.0625,42,texto_reservado,agregado,0.9473684210526315,0.0,0.05263157894736842,0.0,7.0,nan,1368,0.5868358248816141,8.0,1.7354496179335352
azar,0.0625,42,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,0.5868358248816141,8.0,1.7354496179335352
azar,0.0625,42,imagen_test,directo,0.103125,0.896875,0.0,nan,0.0,1.0,1280,0.5288599376056627,8.0,1.7130546784027336
azar,0.0625,42,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.5276717557251906,8.0,1280,0.5288599376056627,8.0,1.7130546784027336
azar,0.0625,42,imagen_test,agregado,0.81875,0.18125,0.0,nan,7.0,8.0,1280,0.5288599376056627,8.0,1.7130546784027336
azar,0.0625,42,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.5288599376056627,8.0,1.7130546784027336
azar,0.0625,43,texto_formacion,directo,0.6166666666666667,0.1765625,0.20677083333333332,0.25692695214105793,0.0,1.0,1920,0.586343973563667,8.0,1.6814800720522043
azar,0.0625,43,texto_formacion,encadenado,0.7776041666666667,0.0,0.22239583333333332,0.0,0.3203125,nan,1920,0.586343973563667,8.0,1.6814800720522043
azar,0.0625,43,texto_formacion,agregado,0.9125,0.0,0.0875,0.0,7.0,nan,1920,0.586343973563667,8.0,1.6814800720522043
azar,0.0625,43,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.586343973563667,8.0,1.6814800720522043
azar,0.0625,43,texto_reservado,directo,0.4656432748538012,0.40350877192982454,0.13084795321637427,0.2737430167597765,0.0,1.0,1368,0.586343973563667,8.0,1.6814800720522043
azar,0.0625,43,texto_reservado,encadenado,0.8201754385964912,0.0,0.17982456140350878,0.0,0.922514619883041,nan,1368,0.586343973563667,8.0,1.6814800720522043
